
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Right ventricular dysfunction (cor pulmonale),0/44 %0.0,1/45 %2.22
Supraventricular and nodal arrhythmia::Atrial fibrillation,3/44 %6.82,0/45 %0.0
Supraventricular and nodal arrhythmia::Sinus tachycardia,0/44 %0.0,2/45 %4.44
Supraventricular and nodal arrhythmia::Supraventricular tachycardia,0/44 %0.0,1/45 %2.22
Ventricular arrhythmia::Ventricular tachycardia,0/44 %0.0,1/45 %2.22
Adrenal insufficiency,0/44 %0.0,1/45 %2.22
Pancreatic endocrine: glucose intolerance,2/44 %4.55,1/45 %2.22
Dry eye syndrome,3/44 %6.82,0/45 %0.0
Ocular/Visual - Other,0/44 %0.0,1/45 %2.22
Colitis,0/44 %0.0,1/45 %2.22
Colitis infectious (e.g. Clostridium difficile),5/44 %11.36,7/45 %15.56
Diarrhea,8/44 %18.18,8/45 %17.78
Dysphagia (difficulty swallowing),1/44 %2.27,2/45 %4.44
Esophagitis,0/44 %0.0,1/45 %2.22
Gastritis (including bile reflux gastritis),2/44 %4.55,0/45 %0.0
Heartburn/dyspepsia,0/44 %0.0,1/45 %2.22
Hemorrhage GI::Abdomen NOS,0/44 %0.0,1/45 %2.22
Hemorrhage GI::Duodenum,0/44 %0.0,1/45 %2.22
Hemorrhage GI::Lower GI NOS,0/44 %0.0,3/45 %6.67
Hemorrhage GI::Rectum,0/44 %0.0,1/45 %2.22
Hemorrhage GI::Upper GI NOS,0/44 %0.0,1/45 %2.22
Ileus GI (functional obstruction of bowel i.e. neuroconstipation),1/44 %2.27,1/45 %2.22
Mucositis/stomatitis (clinical exam)::Oral cavity,3/44 %6.82,0/45 %0.0
Mucositis/stomatitis (functional/symptomatic)::Oral cavity,1/44 %2.27,0/45 %0.0
Nausea,1/44 %2.27,2/45 %4.44
Pain::Abdomen NOS,1/44 %2.27,0/45 %0.0
Perforation GI::Small bowel NOS,1/44 %2.27,0/45 %0.0
Stricture/stenosis (including anastomotic) GI::Esophagus,1/44 %2.27,0/45 %0.0
Ulcer GI::Duodenum,1/44 %2.27,0/45 %0.0
Death not associated with CTCAE term::Death NOS,4/44 %9.09,7/45 %15.56
Death not associated with CTCAE term::Disease progression NOS,3/44 %6.82,10/45 %22.22
Death not associated with CTCAE term::Multi-organ failure,1/44 %2.27,2/45 %4.44
Fatigue (asthenia lethargy malaise),0/44 %0.0,1/45 %2.22
Fever (in the absence of neutropenia where neutropenia is defined as ANC <1.0 x 10e9/L),2/44 %4.55,1/45 %2.22
Tumor lysis syndrome,0/44 %0.0,1/45 %2.22
Weight gain,0/44 %0.0,1/45 %2.22
Cholecystitis,1/44 %2.27,1/45 %2.22
Liver dysfunction/failure (clinical),1/44 %2.27,0/45 %0.0
Allergic reaction/hypersensitivity (including drug fever),2/44 %4.55,0/45 %0.0
Cytokine release syndrome/acute infusion reaction,0/44 %0.0,1/45 %2.22
Febrile neutropenia,6/44 %13.64,6/45 %13.33
Infection:: Abdomen NOS,0/44 %0.0,1/45 %2.22
Infection ::Bladder (urinary),0/44 %0.0,1/45 %2.22
Infection ::Blood,3/44 %6.82,8/45 %17.78
Infection::Catheter-related,1/44 %2.27,4/45 %8.89
Infection ::Lip/perioral,0/44 %0.0,1/45 %2.22
Infection ::Lung (pneumonia),4/44 %9.09,3/45 %6.67
Infection::Meninges (meningitis),1/44 %2.27,0/45 %0.0
Infection ::Muscle (infection myositis),0/44 %0.0,1/45 %2.22
Infection::Nose,0/44 %0.0,1/45 %2.22
Infection::Rectum,1/44 %2.27,0/45 %0.0
Infection::Sinus,2/44 %4.55,2/45 %4.44
Infection ::Trachea,1/44 %2.27,0/45 %0.0
Infection::Upper airway NOS,0/44 %0.0,1/45 %2.22
Infection ::Urinary tract NOS,2/44 %4.55,1/45 %2.22
Infection - Other,1/44 %2.27,2/45 %4.44
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),1/44 %2.27,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Blood,9/44 %20.45,21/45 %46.67
Infection with normal ANC or Grade 1 or 2 neutrophils::Brain (encephalitis infectious),3/44 %6.82,0/45 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils::Bronchus,2/44 %4.55,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Catheter-related,4/44 %9.09,12/45 %26.67
Infection with normal ANC or Grade 1 or 2 neutrophils::Colon,0/44 %0.0,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Esophagus,1/44 %2.27,0/45 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils::Heart (endocarditis),1/44 %2.27,0/45 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils::Liver,1/44 %2.27,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),10/44 %22.73,13/45 %28.89
Infection with normal ANC or Grade 1 or 2 neutrophils::Meninges (meningitis),1/44 %2.27,0/45 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils::Paranasal,1/44 %2.27,0/45 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils::Pharynx,2/44 %4.55,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Sinus,4/44 %9.09,6/45 %13.33
Infection with normal ANC or Grade 1 or 2 neutrophils::Skin (cellulitis),2/44 %4.55,4/45 %8.89
Infection with normal ANC or Grade 1 or 2 neutrophils::Stomach,0/44 %0.0,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Upper airway NOS,0/44 %0.0,1/45 %2.22
Infection with normal ANC or Grade 1 or 2 neutrophils::Urinary tract NOS,1/44 %2.27,3/45 %6.67
Infection with normal ANC or Grade 1 or 2 neutrophils::Wound,1/44 %2.27,1/45 %2.22
Infection with unknown ANC::Blood,2/44 %4.55,2/45 %4.44
Infection with unknown ANC::Catheter-related,1/44 %2.27,0/45 %0.0
Infection with unknown ANC::Colon,1/44 %2.27,0/45 %0.0
Infection with unknown ANC::Lung (pneumonia),2/44 %4.55,1/45 %2.22
ALT SGPT (serum glutamic pyruvic transaminase),4/44 %9.09,1/45 %2.22
AST SGOT(serum glutamic oxaloacetic transaminase),4/44 %9.09,1/45 %2.22
Albumin serum-low (hypoalbuminemia),1/44 %2.27,1/45 %2.22
Alkaline phosphatase,1/44 %2.27,0/45 %0.0
Bilirubin (hyperbilirubinemia),3/44 %6.82,2/45 %4.44
Creatinine,3/44 %6.82,2/45 %4.44
Magnesium serum-low (hypomagnesemia),0/44 %0.0,1/45 %2.22
Phosphate serum-low (hypophosphatemia),1/44 %2.27,1/45 %2.22
Potassium serum-high (hyperkalemia),0/44 %0.0,1/45 %2.22
Potassium serum-low (hypokalemia),0/44 %0.0,1/45 %2.22
Sodium serum-low (hyponatremia),1/44 %2.27,0/45 %0.0
Uric acid serum-high (hyperuricemia),0/44 %0.0,1/45 %2.22
Arthritis (non-septic),1/44 %2.27,0/45 %0.0
Muscle weakness generalized or specific area (not due to neuropathy)::Right-sided,0/44 %0.0,1/45 %2.22
Musculoskeletal/Soft Tissue - Other,0/44 %0.0,1/45 %2.22
Myositis (inflammation/damage of muscle),0/44 %0.0,2/45 %4.44
Pain::Back,0/44 %0.0,1/45 %2.22
Secondary Malignancy - possibly related to cancer treatment (AML);,0/44 %0.0,4/45 %8.89
Secondary Malignancy - possibly related to cancer treatment (metastat. test cancer in lung),1/44 %2.27,0/45 %0.0
Ataxia (incoordination),0/44 %0.0,1/45 %2.22
CNS cerebrovascular ischemia,0/44 %0.0,1/45 %2.22
Cognitive disturbance,0/44 %0.0,1/45 %2.22
Confusion,1/44 %2.27,1/45 %2.22
Encephalopathy,0/44 %0.0,3/45 %6.67
Hemorrhage CNS,0/44 %0.0,2/45 %4.44
Leukoencephalopathy (radiographic findings),0/44 %0.0,1/45 %2.22
Seizure,0/44 %0.0,1/45 %2.22
Somnolence/depressed level of consciousness,0/44 %0.0,1/45 %2.22
Cystitis,1/44 %2.27,0/45 %0.0
Renal failure,10/44 %22.73,6/45 %13.33
Renal/Genitourinary - Other (AKI required CVVH),0/44 %0.0,1/45 %2.22
Adult Respiratory Distress Syndrome (ARDS),0/44 %0.0,5/45 %11.11
Carbon monoxide diffusion capacity (DL(co)),0/44 %0.0,1/45 %2.22
Dyspnea (shortness of breath),4/44 %9.09,3/45 %6.67
Hemorrhage pulmonary/upper respiratory::Lung,1/44 %2.27,1/45 %2.22
Hemorrhage pulmonary/upper respiratory::Nose,0/44 %0.0,1/45 %2.22
Hypoxia,7/44 %15.91,8/45 %17.78
Pericardial effusion (non-malignant),2/44 %4.55,0/45 %0.0
Pleural effusion (non-malignant),2/44 %4.55,2/45 %4.44
Pneumonitis/pulmonary infiltrates,2/44 %4.55,5/45 %11.11
Pulmonary/Upper Respiratory - Other (Specify respiratory failure),1/44 %2.27,0/45 %0.0
Pulmonary/Upper Respiratory - Other (pleural thickening),0/44 %0.0,1/45 %2.22
Dermatology/Skin - Other (Deep sclerosis per MRI GVHD possible),1/44 %2.27,0/45 %0.0
Rash/desquamation,4/44 %9.09,7/45 %15.56
Rash: hand-foot skin reaction,1/44 %2.27,0/45 %0.0
Thrombosis/embolism (vascular access-related),2/44 %4.55,0/45 %0.0
Thrombosis/thrombus/embolism,4/44 %9.09,1/45 %2.22

Sunitinib and Chemoembolization in Treating Patients With Liver Cancer That Cannot Be Removed by Surgery(https://clinicaltrials.gov/show/NCT00524316)
 ,Treatment: Sunitinib and Chemoembolization
 ,Treatment: Cycle (C)1-Sunitinib 37.5mg po d1-7 followed by TACE with doxorubicin in lipodiol on d8 continued sunitinib 37.5mg po qd d15-36 followed by 2 weeks off. C2 onwards- sunitinib 4 weeks on and 2 weeks off with dose escalation to 50 mg in pts without any grade 3 toxicities in C1.
Total serious adverse events,16/16 %100.0
Anaemia,2/16 %12.5
Thrombocytopenia,1/16 %6.25
Abdominal pain,2/16 %12.5
Constipation,1/16 %6.25
Dysphagia,1/16 %6.25
Gastrointestinal haemorrhage,2/16 %12.5
Pancreatitis,1/16 %6.25
Fatigue,1/16 %6.25
Pyrexia,1/16 %6.25
Hyperbilirubinaemia,1/16 %6.25
Lipase increased,1/16 %6.25
Dehydration,2/16 %12.5
Hypokalaemia,1/16 %6.25
Muscular weakness,1/16 %6.25
Confusional state,1/16 %6.25
Renal failure,1/16 %6.25
Dyspnoea,1/16 %6.25
Pulmonary embolism,1/16 %6.25

Combination Chemotherapy in Treating Young Patients With Newly Diagnosed Acute Lymphoblastic Leukemia(https://clinicaltrials.gov/show/NCT00558519)
 ,Treatment (Pediatric Regimen)
 ,Patients received induction (Course I) consolidation (Course II) interim maintenance (Course III) delayed intensification (Course IV) and long-term maintenance therapy (Course V). Please see the "Detailed Description" section for more information.
Total all-cause mortality,105/295 %35.59
Total serious adverse events,134/295 %45.42
Blood disorder,4/295 %1.36
Disseminated intravascular coagulation,1/295 %0.34
Febrile neutropenia,67/295 %22.71
Hemoglobin decreased,128/295 %43.39
Lymph node pain,1/295 %0.34
Lymphatic disorder,3/295 %1.02
Arrhythmia,1/295 %0.34
Atrial fibrillation,3/295 %1.02
Atrial flutter,3/295 %1.02
Atrial tachycardia,2/295 %0.68
Cardiac disorder,1/295 %0.34
Cardiac pain,1/295 %0.34
Conduction disorder,1/295 %0.34
Left ventricular dysfunction,1/295 %0.34
Left ventricular failure,1/295 %0.34
Myocardial ischemia,1/295 %0.34
Palpitations,4/295 %1.36
Pericardial effusion,1/295 %0.34
Right ventricular dysfunction,1/295 %0.34
Sinus arrhythmia,2/295 %0.68
Sinus bradycardia,4/295 %1.36
Sinus tachycardia,30/295 %10.17
Supraventricular tachycardia,4/295 %1.36
Ventricular fibrillation,1/295 %0.34
Ventricular tachycardia,4/295 %1.36
Ear disorder,1/295 %0.34
Ear pain,6/295 %2.03
Hearing impaired,1/295 %0.34
Tinnitus,2/295 %0.68
Adrenal insufficiency,1/295 %0.34
Cushingoid,5/295 %1.69
Dry eye syndrome,2/295 %0.68
Extraocular muscle paresis,2/295 %0.68
Eye disorder,4/295 %1.36
Eye pain,4/295 %1.36
Flashing vision,2/295 %0.68
Optic nerve edema,1/295 %0.34
Photophobia,2/295 %0.68
Retinopathy,1/295 %0.34
Vision blurred,13/295 %4.41
Watering eyes,1/295 %0.34
Abdominal distension,7/295 %2.37
Abdominal pain,44/295 %14.92
Anal hemorrhage,1/295 %0.34
Anal pain,1/295 %0.34
Colitis,6/295 %2.03
Colonic hemorrhage,4/295 %1.36
Colonic perforation,1/295 %0.34
Constipation,39/295 %13.22
Diarrhea,49/295 %16.61
Duodenal ulcer,1/295 %0.34
Dyspepsia,20/295 %6.78
Dysphagia,6/295 %2.03
Esophageal mucositis (clin exam),1/295 %0.34
Esophageal mucositis (funct/sympt),1/295 %0.34
Esophageal pain,5/295 %1.69
Fecal incontinence,1/295 %0.34
Gastritis,4/295 %1.36
Gastrointestinal disorder,4/295 %1.36
Hemorrhoids,4/295 %1.36
Ileus,1/295 %0.34
Mucositis oral (clin exam),30/295 %10.17
Nausea,95/295 %32.2
Oral hemorrhage,2/295 %0.68
Oral pain,12/295 %4.07
Pancreatic necrosis,1/295 %0.34
Pancreatitis,13/295 %4.41
Rectal hemorrhage,3/295 %1.02
Rectal pain,4/295 %1.36
Stomach pain,1/295 %0.34
Tooth disorder,1/295 %0.34
Toothache,4/295 %1.36
Typhlitis,4/295 %1.36
Upper gastrointestinal hemorrhage,1/295 %0.34
Vomiting,64/295 %21.69
Chest pain,12/295 %4.07
Chills,30/295 %10.17
Disease progression,1/295 %0.34
Edema limbs,26/295 %8.81
Facial pain,1/295 %0.34
Fatigue,87/295 %29.49
Fever,28/295 %9.49
Flu-like symptoms,1/295 %0.34
Gait abnormal,4/295 %1.36
General symptom,6/295 %2.03
Ill-defined disorder,4/295 %1.36
Injection site reaction,2/295 %0.68
Localized edema,14/295 %4.75
Multi-organ failure,1/295 %0.34
Pain,29/295 %9.83
Bile duct stenosis,1/295 %0.34
Cholecystitis,1/295 %0.34
Hepatic failure,7/295 %2.37
Hepatobiliary disease,5/295 %1.69
Cytokine release syndrome,1/295 %0.34
Hypersensitivity,22/295 %7.46
Immune system disorder,2/295 %0.68
Colitis infectious,4/295 %1.36
Opportunistic infection,1/295 %0.34
Urinary tract infection(gr 0/1/2 ANC),63/295 %21.36
Aortic injury,1/295 %0.34
Bruising,9/295 %3.05
Dermatitis radiation,1/295 %0.34
Intraop. inj. - Appendix,1/295 %0.34
Postoperative hemorrhage,1/295 %0.34
Seroma,1/295 %0.34
Wound dehiscence,1/295 %0.34
Activated partial throm time prolonged,35/295 %11.86
Alanine aminotransferase increased,125/295 %42.37
Alkaline phosphatase increased,56/295 %18.98
Amylase increased,14/295 %4.75
Aspartate aminotransferase increased,116/295 %39.32
Blood bilirubin increased,99/295 %33.56
Blood prolactin abnormal,1/295 %0.34
Cardiac troponin I increased,1/295 %0.34
Coagulopathy,4/295 %1.36
Creatine phosphokinase increased,1/295 %0.34
Creatinine increased,33/295 %11.19
Electrocardiogram QTc interval prolonged,2/295 %0.68
Fibrinogen decreased,73/295 %24.75
Gamma-glutamyltransferase increased,9/295 %3.05
INR increased,19/295 %6.44
Laboratory test abnormal,16/295 %5.42
Leukocyte count decreased,66/295 %22.37
Lipase increased,20/295 %6.78
Lymphocyte count decreased,45/295 %15.25
Neutrophil count decreased,126/295 %42.71
Platelet count decreased,126/295 %42.71
Serum cholesterol increased,15/295 %5.08
Weight gain,7/295 %2.37
Weight loss,18/295 %6.1
Acidosis,3/295 %1.02
Anorexia,36/295 %12.2
Blood bicarbonate decreased,8/295 %2.71
Blood glucose increased,111/295 %37.63
Blood uric acid increased,4/295 %1.36
Dehydration,12/295 %4.07
Glucose intolerance,7/295 %2.37
Obesity,1/295 %0.34
Renal tubular disorder,1/295 %0.34
Serum albumin decreased,69/295 %23.39
Serum calcium decreased,61/295 %20.68
Serum calcium increased,7/295 %2.37
Serum glucose decreased,30/295 %10.17
Serum magnesium decreased,35/295 %11.86
Serum magnesium increased,27/295 %9.15
Serum phosphate decreased,20/295 %6.78
Serum potassium decreased,59/295 %20.0
Serum potassium increased,20/295 %6.78
Serum sodium decreased,62/295 %21.02
Serum sodium increased,11/295 %3.73
Serum triglycerides increased,24/295 %8.14
Tumor lysis syndrome,3/295 %1.02
Arthralgia,21/295 %7.12
Back pain,34/295 %11.53
Buttock pain,2/295 %0.68
Chest wall pain,10/295 %3.39
Joint disorder,3/295 %1.02
Muscle weakness,9/295 %3.05
Muscle weakness lower limb,12/295 %4.07
Muscle weakness right-sided,2/295 %0.68
Muscle weakness upper limb,4/295 %1.36
Myalgia,17/295 %5.76
Myositis,3/295 %1.02
Neck pain,9/295 %3.05
Osteonecrosis,17/295 %5.76
Osteoporosis,3/295 %1.02
Pain in extremity,35/295 %11.86
Soft tissue necrosis lower limb,1/295 %0.34
Superficial soft tissue fibrosis,1/295 %0.34
Treatment related secondary malignancy,1/295 %0.34
Accessory nerve disorder,1/295 %0.34
Arachnoiditis,2/295 %0.68
Ataxia,2/295 %0.68
Central nervous system necrosis,1/295 %0.34
Cerebrospinal fluid leakage,3/295 %1.02
Depressed level of consciousness,5/295 %1.69
Dizziness,36/295 %12.2
Dysgeusia,9/295 %3.05
Encephalopathy,2/295 %0.68
Extrapyramidal disorder,1/295 %0.34
Facial muscle weakness,1/295 %0.34
Headache,86/295 %29.15
Hypoglossal nerve disorder,2/295 %0.68
Intracranial hemorrhage,2/295 %0.68
Ischemia cerebrovascular,2/295 %0.68
Leukoencephalopathy,2/295 %0.68
Memory impairment,4/295 %1.36
Mini mental status examination abnormal,1/295 %0.34
Neuralgia,1/295 %0.34
Neurological disorder NOS,8/295 %2.71
Oculomotor nerve disorder,1/295 %0.34
Peripheral motor neuropathy,14/295 %4.75
Peripheral sensory neuropathy,68/295 %23.05
Seizure,10/295 %3.39
Speech disorder,7/295 %2.37
Syncope,4/295 %1.36
Tremor,5/295 %1.69
Trigeminal nerve disorder,1/295 %0.34
Agitation,4/295 %1.36
Anxiety,22/295 %7.46
Confusion,9/295 %3.05
Depression,26/295 %8.81
Euphoria,1/295 %0.34
Insomnia,41/295 %13.9
Libido decreased,1/295 %0.34
Psychosis,5/295 %1.69
Bladder spasm,1/295 %0.34
Cystitis,1/295 %0.34
Glomerular filtration rate decreased,1/295 %0.34
Hemorrhage urinary tract,1/295 %0.34
Kidney pain,1/295 %0.34
Renal failure,8/295 %2.71
Urethral pain,2/295 %0.68
Urinary frequency,4/295 %1.36
Urinary incontinence,3/295 %1.02
Urine discoloration,5/295 %1.69
Urogenital disorder,2/295 %0.68
Erectile dysfunction,1/295 %0.34
Pelvic pain,1/295 %0.34
Reproductive tract disorder,1/295 %0.34
Scrotal pain,1/295 %0.34
Vaginal hemorrhage,9/295 %3.05
Adult respiratory distress syndrome,2/295 %0.68
Allergic rhinitis,10/295 %3.39
Aspiration,1/295 %0.34
Atelectasis,3/295 %1.02
Bronchopulmonary hemorrhage,1/295 %0.34
Bronchospasm,1/295 %0.34
Cough,32/295 %10.85
Dyspnea,30/295 %10.17
Epistaxis,15/295 %5.08
Hiccups,10/295 %3.39
Hypoxia,12/295 %4.07
Laryngeal stenosis,1/295 %0.34
Nasal congestion,2/295 %0.68
Pharyngeal mucositis (clin exam),2/295 %0.68
Pharyngolaryngeal pain,18/295 %6.1
Pleural effusion,5/295 %1.69
Pleuritic pain,3/295 %1.02
Pneumonitis,7/295 %2.37
Pneumothorax,3/295 %1.02
Respiratory disorder,7/295 %2.37
Voice alteration,2/295 %0.68
Alopecia,20/295 %6.78
Decubitus ulcer,1/295 %0.34
Dry skin,3/295 %1.02
Erythema multiforme,3/295 %1.02
Hand-and-foot syndrome/reaction,1/295 %0.34
Nail disorder,1/295 %0.34
Petechiae,8/295 %2.71
Photosensitivity,1/295 %0.34
Pruritus,7/295 %2.37
Rash acneiform,6/295 %2.03
Rash desquamating,26/295 %8.81
Scalp pain,1/295 %0.34
Skin disorder,6/295 %2.03
Skin hyperpigmentation,1/295 %0.34
Skin hypopigmentation,1/295 %0.34
Skin induration,1/295 %0.34
Skin striae,1/295 %0.34
Skin ulceration,6/295 %2.03
Sweating,15/295 %5.08
Urticaria,4/295 %1.36
Flushing,1/295 %0.34
Hematoma,6/295 %2.03
Hemorrhage,3/295 %1.02
Hypertension,10/295 %3.39
Hypotension,21/295 %7.12
Thrombosis,23/295 %7.8
Vascular disorder,2/295 %0.68

Pegylated Liposomal Doxorubicin  Low Freq Dexamethasone & Revlimid (Dd-R) in Newly Diagnosed Multiple Myeloma (MM)(https://clinicaltrials.gov/show/NCT00617591)
 ,Induction and Maintenance Therapy
 ,Induction Phase Followed by Maintenance Therapy.  Patients received lenalidomide 25 mg orally on days 1-21 dexamethasone 40 mg orally on days on 1-4 and PLD 40 mg/m^2 intravenously on day 1 (reduced to 30 mg/m^2 after the initial 29 patients were treated). Cycles were repeated every 28 days.  At the best response (4-8 cycles of induction) patients could proceed with either high-dose therapy or maintenance with lenalidomide and dexamethasone at the tolerated doses on the same schedule until disease progression.  Dd-R: Lenalidomide (Revlimid®) combined with Pegylated Liposomal Doxorubicin (Doxil®) and Dexamethasone (Decadron®) as outlined in the Detailed Description.
Total serious adverse events,26/57 %45.61
Hemoglobin,1/57 %1.75
Neutrophils/granulocytes (ANC/AGC),3/57 %5.26
Edema: limb,1/57 %1.75
Edema: trunk/genital,1/57 %1.75
Palpitations,1/57 %1.75
Supraventricular and nodal arrhythmia - Atrial,1/57 %1.75
Cardiac General - Other,2/57 %3.51
Dehydration,1/57 %1.75
Diarrhea,1/57 %1.75
Nausea,1/57 %1.75
Vomiting,1/57 %1.75
Constitutional Symptoms - Other,2/57 %3.51
Fever (in the absence of neutropenia where neutropenia is defined as ANC <1.0 x 10^9/L),4/57 %7.02
Pain - NOS,1/57 %1.75
Syndromes - Other,1/57 %1.75
Febrile neutropenia,2/57 %3.51
Infection(documented clinically or microbiologically) w/Grade 3 or 4 neutrophils - Lung(pneumonia),1/57 %1.75
Infection (documented clinically or microbiologically) with Grade 3 or 4 neutrophils - Sinus,1/57 %1.75
Infection - Other,1/57 %1.75
Infection with normal ANC or Grade 1 or 2 neutrophils - Bladder (urinary),1/57 %1.75
Infection with normal ANC or Grade 1 or 2 neutrophils - Blood,1/57 %1.75
Infection with normal ANC or Grade 1 or 2 neutrophils - Foreign body,1/57 %1.75
Infection with normal ANC or Grade 1 or 2 neutrophils - Oral cavity-gums (gingivitis),1/57 %1.75
Infection with unknown ANC - Lung (pneumonia),1/57 %1.75
Magnesium serum-low (hypomagnesemia),1/57 %1.75
Potassium serum-low (hypokalemia),2/57 %3.51
Fracture,4/57 %7.02
Muscle weakness generalized or specific area (not due to neuropathy) - Whole body/generalized,1/57 %1.75
Musculoskeletal/Soft Tissue - Other,1/57 %1.75
Confusion,1/57 %1.75
Renal failure,1/57 %1.75
Dyspnea (shortness of breath),3/57 %5.26
Pleural effusion (non-malignant),1/57 %1.75
Pulmonary/Upper Respiratory - Other,4/57 %7.02
Rash/desquamation,2/57 %3.51
Thrombosis/thrombus/embolism,4/57 %7.02

A Study to Determine the Activity of Robatumumab (SCH 717454) in Participants With Relapsed Osteosarcoma or Ewing's Sarcoma (MK-7454-002/P04720)(https://clinicaltrials.gov/show/NCT00617890)
 ,Group 1: 0.3mg/kg,Group 1: 10mg/kg,Group 2: 10mg/kg,Group 3: 10mg/kg
 ,Participants received robatumumab 0.3 mg/kg intravenously (IV) as a single dose on Day 1 followed by surgery on Day 10 to 14 and four weeks later resumption of robatumumab 0.3 mg/kg on the same calendar day (± 3 days) once every 2 weeks until disease recurrence or up to 1 year of dosing. This group comprised participants with resectable osteosarcoma that relapsed within 6 months of prior definitive treatment (eg surgical metastasectomy) and having at least one prior chemotherapy regimen containing a platinum agent and doxorubicin.,Participants received robatumumab 10 mg/kg IV as a single dose on Day 1 followed by surgery on Day 10 to 14 and four weeks later resumption of robatumumab 10 mg/kg on the same calendar day (± 3 days) once every 2 weeks until disease recurrence or up to 1 year of dosing. This group comprised participants with resectable osteosarcoma that relapsed within 6 months of prior definitive treatment (eg surgical metastasectomy) and having at least one prior chemotherapy regimen containing a platinum agent and doxorubicin.,Participants received robatumumab 10 mg/kg IV biweekly until disease recurrence or up to 1 year of dosing. This group comprised participants with relapsed and unresectable osteosarcoma refractory to prior chemotherapy with a platinum- and doxorubicin-containing regimen.,Participants received robatumumab 10 mg/kg IV biweekly until disease recurrence or up to 1 year of dosing. This group comprised participants with Ewing's sarcoma refractory to prior treatment with at least 3 of the following agents: ifosfamide etoposide cyclophosphamide doxorubicin or vincristine.
Total serious adverse events,17/34 %50.0,8/33 %24.24,12/34 %35.29,57/115 %49.57
ANAEMIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,3/115 %2.61
FEBRILE BONE MARROW APLASIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
FEBRILE NEUTROPENIA,2/34 %5.88,0/33 %0.0,0/34 %0.0,0/115 %0.0
THROMBOCYTOPENIA,0/34 %0.0,0/33 %0.0,1/34 %2.94,4/115 %3.48
ATRIAL FIBRILLATION,0/34 %0.0,0/33 %0.0,1/34 %2.94,0/115 %0.0
CARDIAC FAILURE,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
CARDIO-RESPIRATORY ARREST,1/34 %2.94,0/33 %0.0,0/34 %0.0,1/115 %0.87
TACHYCARDIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
APLASIA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
BLINDNESS UNILATERAL,0/34 %0.0,0/33 %0.0,1/34 %2.94,1/115 %0.87
VISION BLURRED,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
ABDOMINAL PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,3/115 %2.61
CONSTIPATION,0/34 %0.0,1/33 %3.03,0/34 %0.0,2/115 %1.74
DIARRHOEA,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
GASTROINTESTINAL PAIN,0/34 %0.0,0/33 %0.0,0/34 %0.0,1/115 %0.87
