,title,descriptions
NCT00215943-2,Active Comparator: Thalidomide and Dexamethasone Treatment,Description: Thalidomide was taken orally once every day in the evening for four to six months. The dexamethasone was taken in a pill form. During the first 2 cycles it was taken on days 1-4 9-12 17-20. For all other cycles dexamethasone was taken only on days 1-4.
NCT00222105,A Study Evaluating Efficacy  Toxicity  Harvest Yield and Quality of Life,
NCT00222105-1,Arm 1,Description: Doxil Thalidomide Dexamethasone  Doxil: Doxil 40 mg/m2 IV day 1  Thalidomide: 50-100 mg day 1-28  Dexamethasone: Dexamethasone 40 mg day 1-4 and 15-18
NCT00245050,Pyridoxine in Preventing Hand-Foot Syndrome in Patients Who Are Receiving Liposomal Doxorubicin for Cancer,
NCT00245050-1,Pyridoxine,Description: Arm I: Patients receive doxorubicin HCl liposome IV 40mg/m2 over 1 hour on day 1 and oral pyridoxine 100 mg twice daily on days 1-28.
NCT00245050-2,Placebo,Description: Arm II: Patients receive doxorubicin HCl liposome IV 40mg/m2 over 1 hour on day 1 and oral placebo 100 mg twice daily on days 1-28.
D007753,laboratory,
D000069336,neurovascular coupling,
NCT00290433,Efficacy of the HCVIDDOXIL Regimen in Patients With Newly Diagnosed Peripheral T-Cell Lymphoma,
NCT00290433-1,HCVIDDOXIL Regimen,Description: Cycle 1: Cyclophosphamide 300 mg/m^2 intravenous (IV) twice a day on Days 1-3. Mesna 600 mg/m^2 continuous IV Days 1-3. Doxil 25 mg/m^2 IV over 1 hour on Day 2. Vincristine 1.4 mg/m^2 IV on Days 4 and 11. Dexamethasone 40 mg Iv or oral on Days 1 - 4 and 11 - 14.  Cycle 2: Methotrexate 200 mg/m^2 over 2 hours on Day 1 and 800 mg/m^2 over 22 hours on day 1. Cytarabine 3 Gm/m^2 IV twice a day on Days 2 and 3.
D003586,cytomegalovirus infections,
NCT00290498,Study of Rituximab-HCVAD Alternating With Rituximab-Methotrexate-Cytarabine Versus Standard Rituximab-CHOP Every 21 Days for Patients With Newly Diagnosed High Risk Aggressive B-Cell Non-Hodgkin's Lymphomas in Patients 60 Years Old or Younger,
NCT00290498-1,RHCVAD,Description: Rituximab 375mg/m2 intravenously on day 1cyclophosphamide 300mg/m2 intravenously every 12 h for six doses on days 13doxorubicin 50mg/m2 intravenously on day 5vincristine 1.4mg/m2 or maximum 2mg intravenously on days 5 and 12and dexamethasone 40mg intravenously or orally on days 25alternating with RMA(cycles 246)rituximab 375mg/2 intravenously on day 1methotrexate 200mg/m2 over 2 h followed by 800mg/m2 over 22 h on day 1 and cytarabine 3g/m2 every 12 h for four doses on days 3 and 4 with a 21 day cycle.
NCT00290498-2,RCHOP,Description: RCHOP consisted of rituximab 375mg/m2 intravenously on day 1cyclophosphamide 750mg/m2 intravenously on day 1doxorubicin 50mg/m2 intravenously on day 1 either over 15min or 48 h  vincristine 1.4mg/m2 or maximum 2mg intravenouslyand prednisone 100mg orally on days 15with a 21d cycle.
D011693,petechiae,
D000068897,pearlescence,
D014012,tinnitus,
D006356,heartburn,
D006484,hemorrhoids,
D014070,teeth,
D004364,drugs,
D003409,myxedema congenital,
D000068882,paliperidone,
D000035,abreaction,
D014750,vincristine,
D013848,thigh,
D000080864,ldhm4,
D000071698,latent autoimmune diabetes in adults,
D009765,obesity,
D011141,polyuria,
D059373,breast pain,
10046937,vaginal pain,
10046904,vaginal dryness,
D065631,allergic rhinitis,
10039100,rhinorrhea,
D014831,voice,
D017495,hyperpigmentation,
D013577,syndromes,
NCT00304070,Cisplatin-Based Chemotherapy and/or Surgery in Treating Young Patients With Adrenocortical Tumor,
NCT00304070-1,Stratum 3,Description: Stage III OR IV Disease (chemotherapy)
NCT00305084,Study of NGR-hTNF in Combination With Doxorubicin in Solid Tumors,
NCT00305084-1,Cohort 1: NGRhTNF 0.2 μg/m^2+ Doxorubicin 60 mg/m^2,Description: NGR-hTNF: 0.2 μg/m^2 as 60-minute intravenous infusion every 3 weeks  Doxorubicin: 60 mg/m² intravenous infusion over 15 minutes (starting 1 hour after the end of NGR-hTNF infusion)
NCT00305084-2,Cohort 2: NGRhTNF 0.2 μg/m^2+ Doxorubicin 75 mg/m^2,Description: NGR-hTNF: 0.2 μg/m^2 as 60-minute intravenous infusion every 3 weeks  Doxorubicin: 75 mg/m² intravenous infusion over 15 minutes (starting 1 hour after the end of NGR-hTNF infusion)
NCT00305084-3,Cohort 3: NGR-hTNF 0.4 μg/m^2+ Doxorubicin 75 mg/m^2,Description: NGR-hTNF: 0.4 μg/m^2 as 60-minute intravenous infusion every 3 weeks  Doxorubicin: 75 mg/m² intravenous infusion over 15 minutes (starting 1 hour after the end of NGR-hTNF infusion)
NCT00305084-4,Cohort 4: NGR-hTNF 0.8 μg/m^2+ Doxorubicin 75 mg/m^2,Description: NGR-hTNF: 0.8 μg/m^2 as 60-minute intravenous infusion every 3 weeks  Doxorubicin: 75 mg/m² intravenous infusion over 15 minutes (starting 1 hour after the end of NGR-hTNF infusion)
NCT00305084-5,Cohort 5: NGR-hTNF: 1.6 μg/m^2 + Doxorubicin 75 mg/m^2,Description: NGR-hTNF: 1.6 μg/m^2 as 60-minute intravenous infusion every 3 weeks  Doxorubicin: 75 mg/m² intravenous infusion over 15 minutes (starting 1 hour after the end of NGR-hTNF infusion)
NCT00327171,Study of AVE0005 (VEGF Trap) in Patients With Chemoresistant Advanced Ovarian Cancer,
NCT00327171-1,Aflibercept 2.0 mg/kg,Description: Participants with advanced ovarian epithelial adenocarcinoma administered 2.0 mg/kg Aflibercept intravenously every two weeks
NCT00327171-2,Aflibercept 4.0 mg/kg,Description: Participants with advanced ovarian epithelial adenocarcinoma administered 4.0 mg/kg Aflibercept intravenously every two weeks
D001766,blindness transient,
D003424,crohn disease,
10065712,gastrointestinal stoma necrosis,
D010272,parasite infections,
D006506,hepatitis a,
D009294,narcotics,
D004641,international migration,
D003922,type 1 diabetes mellitus,
D005350,fibromyxoma,
D008198,lymph nodes,
D004830,grand mal convulsion,
D020343,hypertensive encephalopathy,
D004890,erythema,
NCT00346164,Observation  Radiation Therapy  Combination Chemotherapy  and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma,
NCT00346164-1,Arm A: No Adjuvant Treatment,Description: Patients with low-grade tumor with either negative or positive microscopic margins or high-grade tumor ≤ 5 cm (in maximum diameter) with negative microscopic margins are assigned to arm A: (observation only).  clinical observation: Patients undergo observation  therapeutic conventional surgery: Patients undergo surgery
NCT00346164-2,Arm B: Low Risk; Adjuvant Radiotherapy,Description: Patients with high-grade tumor ≤ 5 cm (in maximum diameter) with positive microscopic margins are assigned to arm B: (adjuvant radiotherapy). Beginning between 6-42 days after surgical resection patients undergo a total of 31 fractions of adjuvant radiotherapy.  clinical observation: Patients undergo observation  therapeutic conventional surgery: Patients undergo surgery  3-dimensional conformal radiation therapy: Patients undergo radiotherapy
NCT00346164-3,Arm C: Intermediate & High Risk; Adjuvant Chemoradiotherapy,Description: High risk [metastatic resected incompletely resected or unresected disease] patients with high-grade grossly resected primary tumor with metastases are assigned to receive arm C: (adjuvant chemoradiotherapy). Patients receive ifosfamide IV; doxorubicin hydrochloride IV; beginning in week 4 patients also undergo a total of 31 fractions of radiotherapy.  doxorubicin hydrochloride: Given IV  clinical observation: Patients undergo observation  3-dimensional conformal radiation therapy: Patients undergo radiotherapy  ifosfamide: Given IV
NCT00346164-4,Arm D: Intermediate & High Risk; Neoadjuvant Chemoradiotherapy,Description: High risk [metastatic resected incompletely resected or unresected disease] patients with unresected high-grade metastatic tumor are assigned to receive treatment as in arm D: (neoadjuvant chemoradiotherapy surgery and adjuvant chemotherapy with or without radiotherapy): Patients receive ifosfamide IV; doxorubicin hydrochloride IV. Beginning in week 4 patients also undergo a total of 31 fractions of radiotherapy. Patients undergo surgical resection in week 13.  doxorubicin hydrochloride: Given IV  clinical observation: Patients undergo observation  therapeutic conventional surgery: Patients undergo surgery  3-dimensional conformal radiation therapy: Patients undergo radiotherapy  ifosfamide: Given IV
NCT00352027,Chemotherapy With Low-Dose Radiation for Pediatric Hodgkin Lymphoma,
NCT00352027-1,Stanford V Chemotherapy,Description: Intermediate risk single arm study defined as  EITHER Ann Arbor stage IB and IIIA  OR Ann Arbor stage IA or IIA with ANY of the following features: (1) extranodal extension of disease lesion(s) (2) 3 or more nodal sites involved (3) Bulky mediastinal adenopathy (mediastinal mass to thoracic cavity ratio 33% or greater by chest radiograph).  Participants receive 12 weeks of Stanford V chemotherapy:  Adriamycin IV Day 1 of weeks 1 3 5 7 9 and 11 Vinblastine IV Day 1 of weeks 1 3 5 7 9 11 Nitrogen Mustard (or Cyclophosphamide) IV Day 1 of weeks 1 5 9 Vincristine IV Day 1 of weeks 2 4 6 8 10 12 Bleomycin IV Day 1 of weeks 2 4 6 8 10 12 Etoposide IV Days 1 2 of weeks 1-10 Prednisone PO every other day of weeks 1-12 G-CSF SC days 3-13 16-26 29-39 42-52 55-65 68-78 (as clinically indicated)  After completion of 12 weeks of Stanford V chemotherapy participants receive radiotherapy.
NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,
NCT00354744-1,High_Risk_Rhabdomyosarcoma,Description: Parameningeal (without intracranial extension) and paraspinal tumors receive chemotherapy starting Week 1 and begin radiation therapy at Week 20. Weeks 1-6: vincristine sulfate and irinotecan hydrochloride. Weeks 7-34: vincristine sulfate and irinotecan hydrochloride Cyclophosphamide with MESNA Doxorubicin hydrochloride Etoposide Ifosfamide with MESNA. Weeks 35-54: vincristine sulfate Dactinomycin irinotecan hydrochloride and Cyclophosphamide with MESNA and Filgrastim. Radiation therapy beginning at Week 20. Second look conventional surgery: Surgical resection other than biopsy will be applicable for the majority of patients.
10037767,radiation recall reaction (dermatologic),
NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,
NCT00365365-1,AC->T + Bevacizumab,Description: HER2-negative participants administered  doxorubicin and cyclophosphamide (AC) + bevacizumab for 4 cycles followed by  docetaxel (T) + bevacizumab for 4 cycles followed by  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed
NCT00365365-2,TAC + Bevacizumab,Description: HER2-negative participants administered  docetaxel doxorubicin cyclophosphamide (TAC) + bevacizumab for 6 cycles followed by  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed
NCT00365365-3,TCH + Bevacizumab,Description: All HER2-positive participants administered  docetaxel carboplatin trastuzumab (TCH) + bevacizumab for 6 cycles followed by  bevacizumab and trastuzumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed
D009202,cardiomyopathy,
D013392,ulcerban,
D006232,hand foot and mouth disease,
D019534,rotator cuff impingement syndrome,
D059409,lacunar infarction,
D005836,genitalia female,
NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,
NCT00365417-1,Chemo Plus Bevacizumab,Description: Bevacizumab beginning concurrently with a sequential regimen of doxorubicin and cyclophosphamide followed by docetaxel and capecitabine as neoadjuvant therapy followed by postoperative bevacizumab alone for women with HER2 negative locally advanced breast cancer
D004931,megaesophagus,
NCT00376961,S0601 Rituximab  Combination Chemotherapy  and Bortezomib Followed by Bortezomib Alone in Treating Patients With Newly Diagnosed Mantle Cell Lymphoma,
NCT00376961-1,Rituximab-CHOP-Bortezomib (R-CHOP-V) Induction,Description: Rituximab-CHOP-Bortezomib (R-CHOP-V) induction is administered every 21 days for 6 cycles (1 cycle= 21 days)
NCT00376961-2,Bortezomib Maintenance (VM),Description: Bortezomib maintenance (VM) therapy is given 3 months after the completion of R-CHOP-V induction therapy. Treatment with VM is administered once every 3 month for 8 cycles Cycle 7-14 ( 1 cycle = 3 months)
NCT00379574,Bortezomib Plus CHOP Every 2 Weeks for Advanced Stage DLBCL,
NCT00379574-1,Bortezomib + CHOP Every 2 Weeks,Description: CHOP; cyclophosphamide doxorubicin vincristine and prednisone
NCT00381680,Low-Dose or High-Dose Vincristine and Combination Chemotherapy in Treating Young Patients With Relapsed B-Cell Acute Lymphoblastic Leukemia,
NCT00381680-1,Regimen A: Standard Vincristine Dosing,Description: See detailed description.  vincristine sulfate: Given IV  prednisone: Given PO  doxorubicin hydrochloride: Given IV  pegaspargase: Given IM  cytarabine: Given IT or IV  methotrexate: Given IT or IV  dexamethasone: Given PO  etoposide: Given IV  cyclophosphamide: Given IV  leucovorin calcium: Given IV or PO  filgrastim: Given IV or SC  asparaginase: Given IM  mercaptopurine: Given PO
NCT00381680-2,Arm B: Randomized High Dose Vincristine Regimen,Description: See detailed description. Closed to accrual as of 09/2010).  vincristine sulfate: Given IV  prednisone: Given PO  doxorubicin hydrochloride: Given IV  pegaspargase: Given IM  cytarabine: Given IT or IV  methotrexate: Given IT or IV  dexamethasone: Given PO  etoposide: Given IV  cyclophosphamide: Given IV  leucovorin calcium: Given IV or PO  filgrastim: Given IV or SC  asparaginase: Given IM  mercaptopurine: Given PO
10065722,anal necrosis,
D005401,anal ulcer,
10048293,leukemia secondary to oncology chemotherapy,
D009190,myelodysplastic syndrome,
D009187,myelitis,
NCT00392990,Doxorubicin Hydrochloride Liposome and Rituximab With Combination Chemotherapy in Treating Patients With Newly Diagnosed Burkitt's Lymphoma or Burkitt-Like Lymphoma,
NCT00392990-1,High Risk - Treated With Alternating R-CODOX-M/R-IVAC Cycles,Description: Patients are stratified between high risk and low risk disease status.  High risk patients receive 1 cycle of R-CODOX-M chemotherapy IV followed by R-IVAC chemotherapy over 30 minutes(Regimen B); regimens A and B are then repeated.  Regimen A: Cyclophosphamide (800 mg/m2 IV over 1 hour)+ vincristine (1.5 mg/m2 IV PUSH)+ doxorubicin (40 mg/m2 IV)+ high-dose methotrexate (2700 mg/m2 IV over 23 hours)+ rituximab (500 mg/m2 IV)(R-CODOX-M) regimen  Regimen B: Rituximab (500 mg/m2 IV once)+ Ifosfamide (1500 mg/m2 IV daily over 3 hours)+ Etoposide (60 mg/m2 IV daily over 1 hour) and Cytarabine (2 grams/m2 IV over 3 hours for 4 doses)
NCT00392990-2,Low Risk - Treatment With 3 Cycles of R-CODOX-M,Description: Patients are stratified between high risk and low risk disease status. Low risk patients receive 3 cycles of rituximab (500 mg/m2) R-CODOX-M chemotherapy IV over 2-4 hours with intrathecal chemotherapy (Regimen A).  Regimen A: Cyclophosphamide (800 mg/m2 IV over 1 hour)+ vincristine (1.5 mg/m2 IV PUSH)+ doxorubicin (40 mg/m2 IV)+ high-dose methotrexate (2700 mg/m2 IV over 23 hours)+ rituximab (500 mg/m2 IV)(R-CODOX-M) regimen  Regimen B: Rituximab (500 mg/m2 IV once)+ Ifosfamide (1500 mg/m2 IV daily over 3 hours)+ Etoposide (60 mg/m2 IV daily over 1 hour) and Cytarabine (2 grams/m2 IV over 3 hours for 4 doses)
D010512,bleeding on probing gingival,
D008584,listeria cerebritis,
D009461,neurologic symptoms,
D006435,renal dialysis,
NCT00394251,Study of Dose-dense Adriamycin Plus Cytoxan (AC) Followed by Either ABI-007 (Abraxane) or Taxol With Bevacizumab as Adjuvant Therapy for Patients With Breast Cancer,
NCT00394251-1,AC --> ABI-007,Description: Adriamycin and Cytoxan plus Bevacizumab for four cycles (weeks 1-8); 260 mg/m^2 ABI-007 (Abraxane) plus Bevacizumab for four cycles (weeks 9-16); Bevacizumab (weeks 17-46).
NCT00394251-2,AC --> Taxol,Description: Adriamycin and Cytoxan plus Bevacizumab for four cycles (weeks 1-8); 175 mg/m^2 Taxol plus Bevacizumab for four cycles (weeks 9-16); Bevacizumab (weeks 17-46).
10003012,appendicitis perforated,
D001940,breast,
D000077215,halloysite,
NCT00401817,Bevacizumab + CHOP-Rituximab in Untreated Mantle Cell Lymphoma,
NCT00401817-1,Study Treatment Arm,Description: Bevacizumab-R-CHOP therapy included bevacizumab administered at 15 mg/kg on day 1 and standard dose R-CHOP on day 3 for six 21-day cycles  Bevacizumab: 15 mg/kg on day 1 of each of 6 cycles
D011471,prostate cancer,
NCT00408408,Chemotherapy With or Without Bevacizumab in Treating Women With Stage I  Stage II  or Stage IIIA Breast Cancer That Can Be Removed By Surgery,
NCT00408408-1,Docetaxel Then AC,Description: Docetaxel then AC
NCT00408408-2,Docetaxel + Bev Then AC + Bev,Description: Docetaxel + Bev then AC + Bev
NCT00408408-3,Docetaxel + Capecitabine Then AC,Description: Docetaxel + Capecitabine then AC
NCT00408408-4,Docetaxel + Cape + Bev Then AC + Bev,Description: Docetaxel + Cape + Bev then AC + Bev
NCT00408408-5,Docetaxel + Gem Then AC,Description: Docetaxel + Gem then AC
NCT00408408-6,Docetaxel + Gem + Bev Then AC + Bev,Description: Docetaxel + Gem + Bev then AC + Bev
10055226,anal hemorrhage,
10014678,endocarditis infective,
10055319,pleural hemorrhage,
NCT00436566,Doxorubicin and Cyclophosphamide Followed By Trastuzumab  Paclitaxel  and Lapatinib in Treating Patients With Early-Stage HER2-Positive Breast Cancer That Has Been Removed By Surgery,
NCT00436566-1,AC/PTL,Description: Standard doxorubicin and cyclophosphamide (AC) followed by weekly paclitaxel (80 mg/m^2) x 12 with concurrent standard dose trastuzumab (weekly x 12 then repeat 3 weeks for an additional 9 months) plus daily lapatinib (modified to 750 mg during Paclitaxel + Trastuzumab + Lapatinib (PTL) and 1000 mg during trastuzumab + lapatinib (TL)) for a total of 12 months.
D000071078,stenosis pulmonary vein,
NCT00450801,R-MACLO-IVAM and Thalidomide in Untreated Mantle Cell Lymphoma,
NCT00450801-1,R-MACLO Cycles,Description: Adverse Events occurring during the combination Rituximab Methotrexate Doxorubicin Cyclophosphamide and Vincristine (R-MACLO) treatment cycles.
NCT00450801-2,R-IVAM Cycles,Description: Adverse Events occurring during the Rituximab Ifosfamide (and Mesna) Etoposide and Cytarabine (R-IVAM) treatment cycles.
NCT00450801-3,Thalidomide Therapy,Description: Adverse Events occurring during Thalidomide maintenance therapy.
D016470,bacteremia,
D007172,erectile dysfunction,
NCT00451178,A Study of Participants With Lymphoma Who Take R-CHOP and Enzastaurin Compared to Participants Who Take R-CHOP Only,
NCT00451178-1,R-CHOP and Enzastaurin,Description: Chemotherapy for up to 6 cycles 21 days/cycle with R-CHOP and 500 mg Enzastaurin administered QD as four 125-mg tablets with 1125-mg loading dose (3 tablets TID) on Day 2.  R-CHOP included:  Rituximab: 375 mg/m^2 IV administration on Day 1  Cyclophosphamide: 750 mg/m^2 IV administration on Day 1  Doxorubicin: 50 mg/m^2 IV administration on Day 1  Vincristine: 1.4 mg/m^2 (maximum 2 mg) IV administration on Day 1  Prednisone: 100 mg administered orally on Days 1 through 5  Only this arm eligible for maintenance therapy (500 mg enzastaurin QD up to 3 years). This included pts who had CR CRu and/or were PET-negative. Maintenance therapy allowed at investigator's discretion if pts had PR and/or were PET-positive/equivocal or pts who discontinued therapy before 6 cycles otherwise met response criteria.
NCT00451178-2,R-CHOP,Description: Chemotherapy for up to 6 cycles 21 days/cycle with R-CHOP.  For each cycle R-CHOP therapy included:  Rituximab: 375 mg/m^2 IV administration on Day 1  Cyclophosphamide: 750 mg/m^2 IV administration on Day 1  Doxorubicin: 50 mg/m^2 IV administration on Day 1  Vincristine: 1.4 mg/m^2 (maximum 2 mg) IV administration on Day 1  Prednisone: 100 mg administered orally on Days 1 through 5
D000072663,spontaneous perforation,
D013290,streptococcal infections,
D054517,orbital cellulitis,
D005360,fibula,
D013978,tibial fractures,
D013964,thyroid cancer,
NCT00455533,Study to Assess Effectiveness of Giving Combination of Standard Chemotherapy Drugs Versus Combination of Standard Chemotherapy and New Drug Ixabepilone When Given Before Surgical Removal of Early Stage Breast Cancer,
NCT00455533-1,Ixabepilone,Description: ixabepilone 40 mg/m^2 administered intravenously (IV) over 3 hours every 3 weeks for 4 cycles (12 weeks)
NCT00455533-2,Paclitaxel,Description: paclitaxel 80 mg/m^2 administered IV every week for 12 weeks
D008508,medication error,
D035002,lower limb,
D001249,asthma,
10068319,oropharyngeal pain,
D012143,pulmonary physiological phenomenon,
D002406,catheterization peripheral,
NCT00482391,Doxorubicin and Cyclophosphamide Followed by Paclitaxel  Trastuzumab  and Lapatinib in Treating Patients With HER2/Neu-Overexpressed Breast Cancer,
NCT00482391-1,AC PACLITAXEL  TRASTUZUMAB & LAPATINIB,Description: The regimen consists of AC (doxorubicin 60 mg/m2 cyclophosphamide 600 mg/m2) q 14 days x 4 with pegfilgrastim followed by weekly paclitaxel (80 mg/m2) x 12 + trastuzumab (H) + lapatinib (L). Pegfilgrastim 6mg is given subcutaneously (SQ) on day # 2 of each AC. Filgrastim may be used in lieu of pegfilgrastim at the physician's discretion. Trastuzumab will be administered weekly starting with paclitaxel treatment # 1. Near the completion of all chemotherapy patients may receive trastuzumab on a q 3-weekly schedule starting as early as with paclitaxel cycle # 12. The total duration of trastuzumab from beginning to end is 52 weeks. Lapatinib will be given orally at 1000 mg daily starting with trastuzumab for a total duration of 52 weeks. Hormonal therapy such as tamoxifen or an aromatase inhibitor will be given to patients with hormone receptor positive disease at the physician's discretion. Radiation therapy to the breast or chest is recommended to patients as appropriate.
D012868,skin abnormalities,
D000080884,infratemporal fossa,
D000072106,pulmonologists,
NCT00483509,Study of NGR-hTNF in Combination With Doxorubicin in Patients Affected by Metastatic Small Cell Lung Carcinoma,
NCT00483509-1,A: NGR-hTNF + Doxorubicin,Description: NGR-hTNF plus doxorubicin  NGR-hTNF: iv q3W 0.8 mcg/sqm NGR-hTNF  Doxorubicin: iv q3W 75 mg/sqm doxorubicin 60 minutes after NGR-hTNF infusion
NCT00494780,Ofatumumab (Humax-CD20) With CHOP (Cyclophosphamide Doxorubicin  Vincristine  Predisolone) in Follicular Lymphoma (FL) Patients,
NCT00494780-1,500 mg Ofatumumab + CHOP,Description: Ofatumumab was given on Day 1 and CHOP on Day 3 of each 21-day cycle with 300 mg in Cycle 1 and 500 mg in Cycles 2 to 6. Participants were followed up for 15 weeks during the Treatment period; then every 3 months for 24 months in the Follow-up period; then every 6 months until Month 60 or withdrawal from the study.
NCT00494780-2,1000 mg Ofatumumab + CHOP,Description: Ofatumumab was given on Day 1 and CHOP on Day 3 of each 21-day cycle with 300 mg in Cycle 1 and 1000 mg in Cycles 2 to 6. Participants were followed up for 15 weeks during the Treatment period; then every 3 months for 24 months in the Follow-up period; then every 6 months until Month 60 or withdrawal from the study.
NCT00494780-3,500 mg Ofatumumab + CHOP: Extended Follow-up,Description: Ofatumumab was given on Day 1 and CHOP on Day 3 of each 21-day cycle with 300 mg in Cycle 1 and 500 mg in Cycles 2 to 6. Participants were followed up for 15 weeks during the Treatment period; then every 3 months for 24 months in the Follow-up period; then every 6 months until Month 60 or withdrawal from the study.
NCT00494780-4,1000 mg Ofatumumab + CHOP: Extended Follow-up,Description: Ofatumumab was given on Day 1 and CHOP on Day 3 of each 21-day cycle with 300 mg in Cycle 1 and 1000 mg in Cycles 2 to 6. Participants were followed up for 15 weeks during the Treatment period; then every 3 months for 24 months in the Follow-up period; then every 6 months until Month 60 or withdrawal from the study.
D000070600,injury tibial meniscus,
D010522,periostitis,
D010051,ovarian cancer,
D002280,basal cell carcinoma,
D008881,migraine,
D010048,ovarian cyst,
D012393,rosacea,
NCT00499122,NOV-002  Doxorubicin  Cyclophosphamide  and Docetaxel in Women With Newly Diagnosed Stage II or IIIC Breast Cancer,
NCT00499122-1,NOV-002 and Chemotherapy,Description: NOV-002:  Cycle 1 Day -1 only: 60 mg intravenously (IV) x 2 3 hours (+/- 30 minutes) apart  Cycles 1 - 8 Day 1: 60 mg IV 1 hour (+/- 30 minutes) prior to chemotherapy administration  Cycle 1 - 8 Days 2 - 21: 60 mg subcutaneous injections  Cyclophosphamide: 600 mg/m2 IV Cycles 1 - 4 Day 1  Doxorubicin: 60 mg/m2 IV Cycles 1 - 4 Day 1  Docetaxel: 100 mg/m2 IV Cycles 5 - 8 Day 1
D005263,femoral artery,
D007645,keratosis palmaris et plantaris,
NCT00513695,Sunitinib Malate  Paclitaxel  Doxorubicin Hydrochloride  and Cyclophosphamide Before Surgery in Treating Patients With Stage IIB-IIIC Breast Cancer,
NCT00513695-1,Treatment (Neoadjuvant Chemotherapy Before Surgery),Description: Patients receive neoadjuvant chemotherapy comprising sunitinib malate PO once daily and paclitaxel IV over 1 hour once weekly for 8-12 weeks in the absence of disease progression or unacceptable toxicity. Beginning within 3 weeks of completion of sunitinib malate and paclitaxel patients receive doxorubicin IV once weekly for 15 weeks cyclophosphamide PO once daily for 15 weeks and filgrastim SC on days 2-7 for 16 weeks in the absence of disease progression or unacceptable toxicity. Beginning 3-6 weeks after completion of chemotherapy patients undergo surgery.  sunitinib malate: Given PO  paclitaxel: Given IV  doxorubicin hydrochloride: Given IV  cyclophosphamide: Given PO  filgrastim: Given SC  therapeutic conventional surgery: Undergo surgery  laboratory biomarker analysis: Correlative studies  flow cytometry: Correlative studies
NCT00520130,Chemotherapy and Unrelated Donor Stem Cell Transplantation for Patients With Cancers of the Blood and Immune System,
NCT00520130-1,A - Tacrolimus Methotrexate Sirolimus (TMS) Arm,Description: TMS Arm  Rituximab: Rituximab: 375 mg/m2 IV day 1 for patients with CD20-positive disease  Allogenic stem cell transplant (ASCT): Allogenic stem cell transplant  Conditioning Chemotherapy: Fludarabine:30 mg/m2 per day IV infusion over 30 minutes daily On days -6 -5 -4 and -3 Cyclophosphamide:1200 mg/m2 per day IV infusion over 2 hours on Days 6 -5 -4 -3 Mesna: 1200 mg/m2 per day IV infusion Daily on days 6 -5-4 and -3  TMS: Tacrolimus: 0.02 mg/kg  start day 3. Continue IV or PO. Taper will begin at day +63 if no acute GVHD then at day +119 and discontinue at day +180 as tolerated Methotrexate: 5 mg/m2 IV over 15 minutes on days 1 3 6 and 11. Sirolimus: 12 mg PO on days -3 to 63 followed by a taper if GVHD does not develop.  FLAG: Fludarabine:25 mg/m2 per day IV over 30 minutes Daily on days 1-5 Cytarabine: 2000 mg/m2 IV over 4 hourson Days 1 2 3 4 5 Filgrastim: 5 mcg/kg per day SC beginning 24 hours PRIOR to initiation of chemotherapy
NCT00520130-2,B - Cyclosporine (AC) Arm,Description: AC Arm  Rituximab: Rituximab: 375 mg/m2 IV day 1 for patients with CD20-positive disease  Cyclosporine: Cyclosporine: IV over 2 hours or orally every 12 hours on days -1 to 100 followed by a taper if GVHD does not develop.  Allogenic stem cell transplant (ASCT): Allogenic stem cell transplant  Conditioning Chemotherapy: Fludarabine:30 mg/m2 per day IV infusion over 30 minutes daily On days -6 -5 -4 and -3 Cyclophosphamide:1200 mg/m2 per day IV infusion over 2 hours on Days 6 -5 -4 -3 Mesna: 1200 mg/m2 per day IV infusion Daily on days 6 -5-4 and -3  FLAG: Fludarabine:25 mg/m2 per day IV over 30 minutes Daily on days 1-5 Cytarabine: 2000 mg/m2 IV over 4 hourson Days 1 2 3 4 5 Filgrastim: 5 mcg/kg per day SC beginning 24 hours PRIOR to initiation of chemotherapy EPOCH-F: Fludarabine:25 mg/m2 per day IV infusion over 30 minutes daily on days 1-4 Etoposide :50 mg/m2 per day continuous IV infusion over 24 hours on days 1-4 Doxorubicin:10 mg/m2/d
D019190,iron overload,
D004386,duodenum,
10065755,lip infection,
D003882,dermatomyositis,
D000073678,kayaking,
D010470,perceptual masking,
NCT00524316,Sunitinib and Chemoembolization in Treating Patients With Liver Cancer That Cannot Be Removed by Surgery,
