Disease code,Weight,Group,Group_Description,Study,Study_Name,D_Name
10011914,0.51,NCT00346164-4,Arm D: Intermediate & High Risk; Neoadjuvant Chemoradiotherapy,NCT00346164,Observation  Radiation Therapy  Combination Chemotherapy  and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma,death nos
10021881,0.51,NCT00346164-4,Arm D: Intermediate & High Risk; Neoadjuvant Chemoradiotherapy,NCT00346164,Observation  Radiation Therapy  Combination Chemotherapy  and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma,infections and infestations - other specify
10029104,0.51,NCT00346164-4,Arm D: Intermediate & High Risk; Neoadjuvant Chemoradiotherapy,NCT00346164,Observation  Radiation Therapy  Combination Chemotherapy  and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma,neoplasms benign malignant and unspecified (incl cysts and polyps) - other specify
10049737,5.88,NCT00346164-2,Arm B: Low Risk; Adjuvant Radiotherapy,NCT00346164,Observation  Radiation Therapy  Combination Chemotherapy  and/or Surgery in Treating Young Patients With Soft Tissue Sarcoma,treatment related secondary malignancy
D064420,1.25,NCT00352027-1,Stanford V Chemotherapy,NCT00352027,Chemotherapy With Low-Dose Radiation for Pediatric Hodgkin Lymphoma,adverse drug events
D016769,1.25,NCT00352027-1,Stanford V Chemotherapy,NCT00352027,Chemotherapy With Low-Dose Radiation for Pediatric Hodgkin Lymphoma,embolism and thrombosis
D064420,3.7,NCT00354744-1,High_Risk_Rhabdomyosarcoma,NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,adverse drug events
10061640,0.93,NCT00354744-1,High_Risk_Rhabdomyosarcoma,NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,anorectal infection
10021881,0.93,NCT00354744-1,High_Risk_Rhabdomyosarcoma,NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,infections and infestations - other specify
D018805,0.93,NCT00354744-1,High_Risk_Rhabdomyosarcoma,NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,sepsis
10037767,0.93,NCT00354744-1,High_Risk_Rhabdomyosarcoma,NCT00354744,High-Dose Combination Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Metastatic Rhabdomyosarcoma or Ectomesenchymoma,radiation recall reaction (dermatologic)
D064420,29.49,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,adverse drug events
D064420,32.0,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,adverse drug events
D064420,20.34,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,adverse drug events
D064147,5.13,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,febrile neutropenia
D064147,10.67,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,febrile neutropenia
D009503,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,neutropenia
D009503,4.0,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,neutropenia
D013921,2.67,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,thrombocytopenia
D054058,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,acute coronary syndrome
D006333,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,cardiac failure
D006333,2.67,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,cardiac failure
D009203,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,myocardial infarction
D009202,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,cardiomyopathy
D015746,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,abdominal pain
UNKNOWN-check-for-typo,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
UNKNOWN-check-for-typo,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
UNKNOWN-check-for-typo,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
D041742,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,upper gastrointestinal tract
UNKNOWN-check-for-typo,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
D003092,2.67,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,colitis
D000069196,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,gastrointestinal microbiome
D013392,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,ulcerban
D043183,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,irritable bowel syndrome
10015461,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,esophagitis
D003093,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,colitis ulcerative
D013280,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,stomatitis
D007249,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,inflammation
D002637,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,chest pain
10062501,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,non-cardiac chest pain
10062501,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,non-cardiac chest pain
D005334,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,pyrexia
D002769,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,cholelithiasis
D001064,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,appendicitis
D001064,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,appendicitis
D001991,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,bronchitis
D004238,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,diverticulitis
D004238,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,diverticulitis
D006232,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,hand foot and mouth disease
D007251,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,influenza
D000069544,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,encephalitis infection
D000069544,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,encephalitis infection
10064687,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,device related infection
D006562,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,herpes zoster
D000038,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,abscess
10061229,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,lung infection
D000985,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,antisepsis
D000985,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,antisepsis
D018805,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,sepsis
D012772,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,septic shock
D014552,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,urinary tract infection
10050528,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,ejection fraction decreased
D003681,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,dehydration
D003681,5.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,dehydration
UNKNOWN-check-for-typo,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
UNKNOWN-check-for-typo,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
UNKNOWN-check-for-typo,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,D00
D019534,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,rotator cuff impingement syndrome
D059352,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,musculoskeletal pain
D008578,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,meninges
D006261,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,headache
D059409,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,lacunar infarction
D010523,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,peripheral neuropathy
D007427,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,subarachnoid pressure
D058186,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,acute renal failure
D005836,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,genitalia female
D011655,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,pulmonary embolism
D011655,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,pulmonary embolism
D012128,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,acute respiratory distress syndrome
D005076,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,rash
10054524,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,palmar-plantar erythrodysesthesia syndrome
D020246,2.56,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,deep vein thrombosis
D020246,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,deep vein thrombosis
D006973,1.28,NCT00365365-1,AC->T + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,hypertension
D006973,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,hypertension
D000959,1.69,NCT00365365-3,TCH + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,antihypertensives
D007022,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,hypotension
D013479,1.33,NCT00365365-2,TAC + Bevacizumab,NCT00365365,Safety & Efficacy of Three Docetaxel-Based Chemotherapy Regimens Plus Bevacizumab With or Without Trastuzumab for Adjuvant Treatment of Patients With Breast Cancer,superior vena cava syndrome
D064420,31.11,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,adverse drug events
D006454,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,hemoglobin
D003967,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,diarrhea
D004941,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,esophagitis
D003945,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,examination oral
D004931,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,megaesophagus
D009055,4.44,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,oral cavity
D007319,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,insomnia
D015746,4.44,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,abdominal pain
D001416,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,back pain
D059352,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,musculoskeletal pain
D013575,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,syncope
D000069544,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,encephalitis infection
D055499,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,catheter-related infections
10061229,4.44,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,lung infection
10040872,6.67,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,skin infection
D000069544,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,encephalitis infection
D014552,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,urinary tract infections
D012852,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,sinus infections
10040872,4.44,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,skin infection
D012141,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,infections upper respiratory
D014552,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,urinary tract infections
D014946,2.22,NCT00365417-1,Chemo Plus Bevacizumab,NCT00365417,Therapy With Bevacizumab (BEV)  Doxorubicin  and Cyclophosphamide Followed by BEV  Docetaxel  and Capecitabine Before Surgery Followed by BEV Alone After Surgery for Women With Locally Advanced Breast Cancer,wound infection
